timestamp,maquina_id,turno,pecas_produzidas,pecas_refugadas,consumo_kwh,status,data,taxa_refugo
2024-11-24 10:21:43.025417,1,Turno A (06h-14h),0,0,1.868,Parada/Manutencao,2024-11-24,
2024-11-24 10:21:43.025417,2,Turno A (06h-14h),0,0,3.347,Parada/Manutencao,2024-11-24,
2024-11-24 11:21:43.025417,1,Turno A (06h-14h),0,0,1.614,Parada/Manutencao,2024-11-24,
2024-11-24 11:21:43.025417,2,Turno A (06h-14h),0,0,3.317,Parada/Manutencao,2024-11-24,
2024-11-24 12:21:43.025417,1,Turno A (06h-14h),0,0,1.739,Parada/Manutencao,2024-11-24,
2024-11-24 12:21:43.025417,2,Turno A (06h-14h),0,0,2.959,Parada/Manutencao,2024-11-24,
2024-11-24 13:21:43.025417,1,Turno A (06h-14h),0,0,1.917,Parada/Manutencao,2024-11-24,
2024-11-24 13:21:43.025417,2,Turno A (06h-14h),0,0,3.038,Parada/Manutencao,2024-11-24,
2024-11-24 14:21:43.025417,1,Turno B (14h-22h),0,0,1.626,Parada/Manutencao,2024-11-24,
2024-11-24 14:21:43.025417,2,Turno B (14h-22h),0,0,3.056,Parada/Manutencao,2024-11-24,
2024-11-24 15:21:43.025417,1,Turno B (14h-22h),0,0,1.812,Parada/Manutencao,2024-11-24,
2024-11-24 15:21:43.025417,2,Turno B (14h-22h),0,0,2.981,Parada/Manutencao,2024-11-24,
2024-11-24 16:21:43.025417,1,Turno B (14h-22h),0,0,1.651,Parada/Manutencao,2024-11-24,
2024-11-24 16:21:43.025417,2,Turno B (14h-22h),0,0,2.823,Parada/Manutencao,2024-11-24,
2024-11-24 17:21:43.025417,1,Turno B (14h-22h),0,0,1.849,Parada/Manutencao,2024-11-24,
2024-11-24 17:21:43.025417,2,Turno B (14h-22h),0,0,3.309,Parada/Manutencao,2024-11-24,
2024-11-24 18:21:43.025417,1,Turno B (14h-22h),0,0,1.86,Parada/Manutencao,2024-11-24,
2024-11-24 18:21:43.025417,2,Turno B (14h-22h),0,0,2.99,Parada/Manutencao,2024-11-24,
2024-11-24 19:21:43.025417,1,Turno B (14h-22h),0,0,1.798,Parada/Manutencao,2024-11-24,
2024-11-24 19:21:43.025417,2,Turno B (14h-22h),0,0,3.283,Parada/Manutencao,2024-11-24,
2024-11-24 20:21:43.025417,1,Turno B (14h-22h),0,0,1.909,Parada/Manutencao,2024-11-24,
2024-11-24 20:21:43.025417,2,Turno B (14h-22h),0,0,2.864,Parada/Manutencao,2024-11-24,
2024-11-24 21:21:43.025417,1,Turno B (14h-22h),0,0,1.615,Parada/Manutencao,2024-11-24,
2024-11-24 21:21:43.025417,2,Turno B (14h-22h),0,0,3.147,Parada/Manutencao,2024-11-24,
2024-11-24 22:21:43.025417,1,Turno C (22h-06h),0,0,1.967,Parada/Manutencao,2024-11-24,
2024-11-24 22:21:43.025417,2,Turno C (22h-06h),0,0,3.257,Parada/Manutencao,2024-11-24,
2024-11-24 23:21:43.025417,1,Turno C (22h-06h),0,0,1.759,Parada/Manutencao,2024-11-24,
2024-11-24 23:21:43.025417,2,Turno C (22h-06h),0,0,3.086,Parada/Manutencao,2024-11-24,
2024-11-25 00:21:43.025417,1,Turno C (22h-06h),1037,22,14.378,Operando,2024-11-25,0.021215043394406944
2024-11-25 00:21:43.025417,2,Turno C (22h-06h),808,27,13.128,Operando,2024-11-25,0.03341584158415842
2024-11-25 01:21:43.025417,1,Turno C (22h-06h),1110,26,15.502,Operando,2024-11-25,0.023423423423423424
2024-11-25 01:21:43.025417,2,Turno C (22h-06h),0,0,3.033,Parada/Manutencao,2024-11-25,
2024-11-25 02:21:43.025417,1,Turno C (22h-06h),1039,16,14.876,Operando,2024-11-25,0.015399422521655439
2024-11-25 02:21:43.025417,2,Turno C (22h-06h),900,20,14.566,Operando,2024-11-25,0.022222222222222223
2024-11-25 03:21:43.025417,1,Turno C (22h-06h),1077,19,14.865,Operando,2024-11-25,0.017641597028783658
2024-11-25 03:21:43.025417,2,Turno C (22h-06h),892,28,14.692,Operando,2024-11-25,0.03139013452914798
2024-11-25 04:21:43.025417,1,Turno C (22h-06h),1085,20,14.677,Operando,2024-11-25,0.018433179723502304
