timestamp,maquina_id,topico_uns,ciclo_tempo_s,pressao_mpa,umidade_pct,temp_matriz_c,pecas_produzidas,flag_defeito
2025-10-26 19:04:57.675014,1,spBv1.0/EcoTijolos/DDATA/Prensagem/Prensa_01,6.51,14.37,12.21,59.4,2,0
2025-10-26 19:04:57.675014,2,spBv1.0/EcoTijolos/DDATA/Prensagem/Prensa_02,7.17,16.02,12.77,53.7,2,0
2025-10-26 19:09:57.675014,1,spBv1.0/EcoTijolos/DDATA/Prensagem/Prensa_01,7.05,14.22,13.73,65.9,2,0
2025-10-26 19:09:57.675014,2,spBv1.0/EcoTijolos/DDATA/Prensagem/Prensa_02,7.09,14.58,12.17,60.2,2,0
2025-10-26 19:14:57.675014,1,spBv1.0/EcoTijolos/DDATA/Prensagem/Prensa_01,7.39,14.71,13.39,56.4,2,0
2025-10-26 19:14:57.675014,2,spBv1.0/EcoTijolos/DDATA/Prensagem/Prensa_02,7.36,11.88,9.2,58.9,2,1
2025-10-26 19:19:57.675014,1,spBv1.0/EcoTijolos/DDATA/Prensagem/Prensa_01,7.12,14.82,12.09,63.6,2,0
2025-10-26 19:19:57.675014,2,spBv1.0/EcoTijolos/DDATA/Prensagem/Prensa_02,6.84,13.85,11.11,65.7,2,0
2025-10-26 19:24:57.675014,1,spBv1.0/EcoTijolos/DDATA/Prensagem/Prensa_01,6.84,15.28,13.06,64.1,2,0
2025-10-26 19:24:57.675014,2,spBv1.0/EcoTijolos/DDATA/Prensagem/Prensa_02,6.59,16.51,12.67,61.9,2,0
2025-10-26 19:29:57.675014,1,spBv1.0/EcoTijolos/DDATA/Prensagem/Prensa_01,6.93,15.66,12.23,59.7,2,0
2025-10-26 19:29:57.675014,2,spBv1.0/EcoTijolos/DDATA/Prensagem/Prensa_02,7.32,14.01,11.23,64.8,2,0
2025-10-26 19:34:57.675014,1,spBv1.0/EcoTijolos/DDATA/Prensagem/Prensa_01,6.78,14.81,12.46,60.8,2,0
